premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Rees Miller Estate,Upper Goulburn,www.reesmiller.com,5355 Goulburn Highway, Yea, Vic 3717                        Upper Goulburn            VIC,(03) 5797 2101,(03) 5797 3276,7 days 10-6,David Miller,1996,3000,8 hectares,
Rex Vineyard,Central Western Australia Zone,,Beaufort, WA 6315                        Central Western Australia Zone,(08) 9384 3210,Not Available,Not,Julie White (Contract),1991,500,Not Available,
Restif,Yarra Valley,,64 Parker Road, Wandin East, Vic 3139 (postal)                        Yarra Valley            VIC,(03) 5964 2341,(03) 5964 3651,Not,Gary Mills,1990,700,Not Available,
This page is corked...,Yarra Valley,,64 Parker Road, Wandin East, Vic 3139 (postal)                        Yarra Valley            VIC,(03) 5964 2341,(03) 5964 3651,Not,Gary Mills,1990,700,Not Available,
Reynella,Various,www.reynellawines.ocm.au,Reynell Road, Reynella, SA 5161                        Various            SA,1800 088 711,(08) 8392 2202,Fri 11-4,Paul Carpenter,1838,NFP,Not Available,
Resolution Vineyard,Southern Tasmania,www.theresolutionvineyard.com,4 Glen Street, South Hobart, Tas 7004                        Southern Tasmania            TAS,(03) 6224 9497,Not Available,By appt,Frogmore Creek,2003,250,0.8 hectares,
Renewan Murray Gold Wines,Swan Hill,,Murray Valley Highway, Piangil, Vic 3597                        Swan Hill            VIC,(03) 5030 5525,(03) 5030 5695,7 days 9-5,Hanging Rock,1989,220,Not Available,
Redgate,Margaret River,www.redgatewines.com.au,659 Boodjidup Road, Margaret River, WA 6285                        Margaret River            WA            6285,(08) 9757 6488,(08) 9757 6308,7 days 10?4.30,Joel Page,1977,6000,18 hectares,
St Brioc Wines,McLaren Vale,www.stbriocwines.com.au,PO Box 867, McLaren Vale, SA 5171                        McLaren Vale,0423 777 088,Not Available,Not,Contract,2008,250,Not Available,
St Michael's Vineyard,Heathcote,,503 Pook Road, Toolleen, Vic 3521                        Heathcote            VIC,0427 558 786,(03) 5433 2612,By appt,Mick Cann,1994,300,4.5 hectares,
Stuart Wines,Yarra Valley,www.stuartwinesco.com.au,105 Killara Road, Gruyere, Vic 3770 (postal)                        Yarra Valley            VIC,(03) 5964 9000,(03) 5964 9313,Not,Peter Wilson, Stephen Phillips,1999,95 000,128.9 hectares,
St Gregory?s,Henty,,Bringalbert South Road, Bringalbert South via Apsley, Vic 3319                        Henty            VIC,(03) 5586 5225,Not Available,By appt,Gregory Flynn,1983,NA,Not Available,
St Imre Vineyard,Southern Tasmania,www.stimrevineyard.blogspot.com,6902 Huon Highway, Dover, Tas 7117                        Southern Tasmania            TAS,(03) 6298 1781,Not Available,Wed-Sun 10-5,Paul Molnar,1999,450,2 hectares,
St Aidan,Geographe,www.saintaidan.com.au,754 Ferguson Road, Dardanup, WA 6236                        Geographe            WA,(08) 9728 3007,(08) 9728 3006,Mon-Tues, Thurs-Fri 11-4, w'ends and public hols 11-5,Mark Messenger (Contract),1996,1500,2.6 hectares,
St Anne's Vineyards,Perricoota,www.stanneswinery.com.au,Cnr Perricoota Road/24 Lane, Moama, NSW 2731            PO Box 368, Moama             Perricoota            NSW            2731,(03) 5480 0099,(03) 5480 0077,7 days 9-5,Richard McLean,1972,80 000,182 hectares,
St Ignatius Vineyard,Pyrenees,www.stignatiusvineyard.com.au,5434 Sunraysia Highway, Lamplough, Vic 3352                        Pyrenees            VIC,(03) 5465 3542,(03) 5465 3542,7 days 10-5,Enrique Diaz,1992,2000,9 hectares,
This page is corked...,Pyrenees,www.stignatiusvineyard.com.au,5434 Sunraysia Highway, Lamplough, Vic 3352                        Pyrenees            VIC,(03) 5465 3542,(03) 5465 3542,7 days 10-5,Enrique Diaz,1992,2000,9 hectares,
Stefani Estate,Various,www.stefaniestatewines.com.au,122 Long Gully Road, Healesville, Vic 3777                        Various            VIC,(03) 9570 8750,(03) 9579 1532,By appt,Peter Mackey,1998,6800,30 hectares,
Staindl Wines,Mornington Peninsula,www.staindlwines.com.au,63 Shoreham Road, Red Hill South, Vic 3937 (postal)                        Mornington Peninsula            VIC,0419 553 299,Not Available,By appt,Rollo Crittenden (Contract),1982,400,3.1 hectares,
St Hallett,Various,www.sthallett.com.au,St Hallett Road, Tanunda, SA 5352                        Various            SA            5352,(08) 8563 7000,(08) 8563 7001,7 days 10-5,Toby Barlow, Shelley Cox, Darin Kinzie,1944,210 000,Not Available,
Steler Estate Wines,Gippsland,www.stelerestatewines.com.au,26 Belvedere Close, Pakenham Upper, Vic 3810                        Gippsland            VIC,(03) 9796 5766,(03) 9796 5695,By appt,Tomo Steler,1996,350,0.8 hectares,
Stefano de Pieri,Murray Darling,www.stefano.com.au,27 Deakin Avenue, Mildura, Vic 3502                        Murray Darling            VIC,(03) 5021 3627,(03) 5021 0842,Mon-Fri 8-6; w'ends 8+2,Sally Blackwell, Stefano de Pieri,2005,25 000,Not Available,
Steels Gate,Yarra Valley,www.steelsgate.com.au,227 Greenwoods Lane, Steels Creek, Vic 3775                        Yarra Valley            VIC            3775,0419 628 393,Not Available,Not,Aaron Zuccaro,2010,500,2 hectares,
Steels Creek Estate,Yarra Valley,www.steelscreekestate.com.au,1 Sewell Road, Steels Creek, Vic 3775            PO Box 282 Yarra Glen Vic 3775            Yarra Valley            VIC            3775,(03) 5965 2448,(03) 5965 2448,W'ends and public hols 10-6,Simon Peirce,1981,400,1.7 hectares,
Stella Bella Wines,Margaret River,www.stellabella.com.au,205 Rosabrook Road, Margaret River, WA 6285                        Margaret River            WA            6285,(08) 9758 8611,(08) 9757 6022,7 days 10-5,Luke Jolliffe, Michael Kane,1997,50 000,87.9 hectares,
Stormflower Vineyard,Margaret River,www.stormflower.com.au,3503 Caves Road, Wilyabrup, WA 6280                        Margaret River            WA            6280,(08) 9755 6211,Not Available,7 days 11-5,Stuart Pym, Ian Bell,2007,1800,9 hectares,
Steinborner Family Vineyards,Barossa Valley,www.sfvineyards.com.au,91 Siegersdorf Road, Tanunda, SA 5352                        Barossa Valley            SA,0414 474 708,(08) 8522 4898,By appt,David Reynolds,2003,2000,12 hectares,
Star Lane,Beechworth,www.starlanewinery.com.au,51 Star Lane, Beechworth, Vic 3747                        Beechworth            VIC,(03) 5728 7268,Not Available,By appt,Liz Barnes,1996,1200,9 hectares,
Staniford Wine Co,Great Southern,www.stanifordwineco.com.au,20 Jackson Street, Mount Barker, WA 6324                        Great Southern,0405 157 687,Not Available,By appt,Michael Staniford,2010,500,Not Available,
Station Creek,King Valley,,Edi Road, Cheshunt, Vic 3678                        King Valley            VIC,(03) 5729 8265,(03) 5729 8056,7 days,David Steer, Warren Proft (Consultant),1999,900,4.5 hectares,
Staughton Vale Vineyard,Geelong,www.staughtonvale.com.au,20 Staughton Vale Road, Anakie, Vic 3221                        Geelong            VIC,(03) 5284 1477,(03) 5284 1229,Fri?Mon   public hols 10?5,Paul Chambers,1986,NA,Not Available,
Stanton and Killeen Wines,Rutherglen,www.stantonandkilleen.com.au,440 Jacks Road, Murray Valley Highway, Rutherglen, Vic 3685                        Rutherglen            VIC            3685,(02) 6032 9457,(02) 6032 8018,Mon-Sat 9-5, Sun and public hols 10-5,Andrew Drumm, Joe Warren,1875,12 000,34 hectares,
Statford Park,Southern Highlands,,Southern Highlands            NSW,Not Available,Not Available,This business is no longer operating,Not Available,1997,NA,Not Available,
Stefano Lubiana,Southern Tasmania,www.slw.com.au,60 Rowbottoms Road, Granton, Tas 7030            Granton            Southern Tasmania            TAS            7030,(03) 6263 7457,(03) 6263 7430,Thurs-Mon 11-4 (closed Jul),Steve Lubiana,1990,NFP,25 hectares,
Lambert Estate,Barossa Valley,www.lambertestate.com.au,55 Long Gully Way, Angaston, SA 5353                        Barossa Valley            SA            5353,(08) 8564 2222,(08) 8563 3758,7 days 11-5,Kirk and Vanessa Lambert,1986,10 000,40 hectares,
Starvedog Lane,Adelaide Hills,www.starvedoglane.com.au,Reynell Road, Reynella, SA 5161 (postal)                        Adelaide Hills            SA,(08) 8392 2300,(08) 8392 2301,Not,Glenn Barry,1999,NFP,Not Available,
T'Gallant,Mornington Peninsula,www.tgallant.com.au,1385 Mornington-Flinders Road, Main Ridge, Vic 3928            Main Ridge            Mornington Peninsula            VIC            3928,(03) 5931 1300,(03) 5989 6577,7 days 9?5,Adam Carnaby,1990,NFP,8 hectares,
Wildcroft Estate,Mornington Peninsula,www.wildcroft.com.au,98 Stanleys Road, Red Hill South, Vic 3937                        Mornington Peninsula            VIC,(03) 5989 2646,(03) 9783 9469,7 days 10-5,Bass Phillip,1988,NA,Not Available,
Wild Soul,Granite Belt,www.wildsoul.netfirms.com,Horans Gorge Road, Glen Aplin, Qld 4381                        Granite Belt            QLD,(07) 4683 4201,(07) 4683 4201,W'ends   public hols 10-4,Andy Boullier,1996,NA,Not Available,
Winstead,Southern Tasmania,www.winstead.com.au,75 Winstead Road, Bagdad, Tas 7030                        Southern Tasmania            TAS,(03) 6268 6417,Not Available,By appt,Neil Snare,1989,700,3 hectares,
Calabria Family Wines,Various,www.calabriawines.com.au,1283 Brayne Road, Griffith, NSW 2680                        Various            NSW,(02) 6969 0800,(02) 6962 1673,Mon-Fri 8.30-5, w'ends 10-4,Bill Calabria, Emma Norbiato, Tony Steffania, Jeremy Nascimben, Sam Trimboli,1945,NFP,55 hectares,
Wilkie Estate,Adelaide Plains,www.wilkieestatewines.com.au,Lot 1, Heaslip Road, Penfield, SA 5121                        Adelaide Plains            SA,(08) 8178 0094,(08) 8284 7618,7 days 10-5,Trevor Spurr,1990,NA,Not Available,
Wildwood,Sunbury,www.wildwoodvineyards.com.au,80 St Johns Road, Bulla Vic 3428                        Sunbury            VIC,Not Available,03 9307 1170,Not,Dr Wayne Stott,1982,2000,9.4 hectares,
Wild Orchid Wines,Blackwood Valley,www.wildorchidwines.com.au,PO Box 165, Boyup Brook, WA 6244                        Blackwood Valley            WA            6244,(08) 9767 3058,(08) 9767 3058,Not,James Kellie (Contract),1997,1500,17.7 hectares,
Wili-Wilia Winery,Macedon Ranges,www.wwwinery.com.au,80 Scrubby Camp Road, Emu Flat, Vic 3455                        Macedon Ranges            VIC,(03) 5433 5367,Not Available,W'ends & public hols 10-5,Cobaw Ridge (Alan Cooper),1996,500,Not Available,
Wildwood of Yallingup,Margaret River,,Margaret River            WA,Not Available,Not Available,This business is no longer operating,Not Available,1984,NA,Not Available,
Wild Geese Wines,Adelaide Hills,,PO Box 1157, Balhanna, SA 5242                        Adelaide Hills            SA,(08) 8388 4464,(08) 8388 4464,Not,Patrick O'Sullivan,2000,400,Not Available,
Wignalls Wines,Albany,www.wignallswines.com.au,448 Chester Pass Road (Highway 1), Albany, WA 6330                        Albany,(08) 9841 2848,(08) 9842 9003,7 days 11?4,Rob Wignall, Michael Perkins,1982,7000,18.5 hectares,
wightwick,Ballarat,www.wightwick.com.au,323 Slatey Creek Road North, Invermay, Vic 3352                        Ballarat            VIC,(03) 5332 4443,(03) 5332 8944,By appt,Simon Wightwick,1996,180,0.4 hectares,
Wild Cattle Creek Estate,Yarra Valley,www.wildcattlecreek.com,473 Warburton Highway, Wandin North, Vic 3139                        Yarra Valley            VIC,0419 368 663,(03) 0727 5549,W'ends   public hols 11-5,Mac Forbes,1996,1000,25 hectares,
Wild Fox Organic Wines,Adelaide Plains,www.wildfoxwines.com,PO Box 343, Prospect SA 5082                        Adelaide Plains,(08) 8342 5321,Not Available,Not,Mark Jamieson,1998,12 000,17 hectares,
Wild Duck Creek Estate,Heathcote,www.wildduckcreekestate.com,764 Spring Flat Road, Heathcote, Vic 3523                        Heathcote            VIC,(03) 5433 3133,(03) 5433 3133,By appt,David and Liam Anderson,1980,3500,15 hectares,
Wicks Estate Wines,Adelaide Hills,www.wicksestate.com.au,21 Franklin Street, Adelaide, SA 5000 (postal)                        Adelaide Hills            SA            5000,(08) 8212 0004,(08) 8212 0007,Not,Leigh Ratzmer,2000,20 000,38.1 hectares,
Wilmot Hills Vineyard,Northern Tasmania,www.wilmothills.com,407 Back Road, Wilmot, Tas 7310                        Northern Tasmania            TAS,(03) 6492 1193,(03) 6492 1193,Thurs-Tues 10-6,John and Ruth Cole,1991,250,Not Available,
Will Taylor Wines,Various,www.willtaylor.com.au,1B Victoria Avenue, Unley Park, SA 5061                        Various            ACT,(08) 8271 6122,(08) 8271 6122,By appt,Various contract,1997,300,Not Available,
Willy Bay,Geographe,www.willybay.com.au,PO Box 193, Inglewood, WA 6932                        Geographe            WA,(08) 9271 9890,(08) 9271 7771,Not,Peter Stanlake,2003,700,11 hectares,
Wild Dog Winery,Gippsland,www.wilddogwinery.com,Warragul-Korumburra Road, Warragul, Vic 3820                        Gippsland            VIC,(03) 5623 1117,(03) 5623 6402,7 days 11?5,Max Marriott,1982,3000,10.1 hectares,
Treen Ridge Estate,Pemberton,www.treenridge.com.au,Lot 11344 Packer Road, Pemberton, WA 6260                        Pemberton            WA,(08) 9776 1131,(08) 9776 0442,Wed?Fri 11?5, w'ends 10?5,The Vintage Wineworx,1992,NA,Not Available,
Train Trak,Yarra Valley,www.traintrak.com.au,957 Healesville-Yarra Glen Road, Yarra Glen, Vic 3775                        Yarra Valley            VIC,(03) 9730 1314,(03) 9427 1510,Wed-Sun 10-5,Robert Paul (Contract),1995,1800,16 hectares,
Trafford Hill Vineyard,Southern Fleurieu,www.geocities.com/traffordhill,Lot 1 Bower Road, Normanville, SA 5204                        Southern Fleurieu            SA,(08) 8558 3595,Not Available,Thurs-Mon   hols 10.30-5,John Sanderson,1996,650,Not Available,
Trahna Rutherglen Wines,Rutherglen,,404 Buckinghams Road, Norong, Vic 3682                        Rutherglen            VIC,(02) 6033 2016,(02) 6033 0285,At Victoria Hotel, Rutherglen,Cofield (David White),2002,NFP,10 hectares,
Trevor Jones Fine Wines,Barossa Valley,www.trevorjonesfinewines.com.au,173 Jollytown Road, Lyndoch, SA 5351                        Barossa Valley,0417 869 981,Not Available,By appt,Trevor Jones,1998,4000,5 hectares,
Transylvania Winery,Southern New South Wales Zone,,Monaro Highway, Cooma, NSW 2630                        Southern New South Wales Zone            NSW,(02) 6452 4374,(02) 6452 6281,7 days 9-5, restaurant 11-11,Peter Culici,1989,NA,Not Available,
Tranquil Vale,Hunter Valley,www.tranquilvalewines.com.au,325 Pywells Road, Luskintyre, NSW 2321                        Hunter Valley            NSW,(02) 4930 6100,(02) 4930 6105,Thurs-Mon 10-5,Steve Gell,1996,1000,4 hectares,
Trappers Gully,Mount Barker,www.trappersgullywines.com,130 Boyup Road, Mount Barker, WA 6324                        Mount Barker            WA,(08) 9851 2565,(08) 9851 2565,W'ends 10-4,Clea Candy, James Kellie (Consultant),1998,1000,4 hectares,
Twin Bays,Southern Fleurieu,www.twinbays.net,Lot 1 Martin Road, Yankalilla, SA 5203                        Southern Fleurieu            SA,(08) 8267 2844,(08) 8239 0877,W'ends   hols,Bruno Giorgio,1989,NA,Not Available,
Windy Ridge Vineyard and Winery,Gippsland,www.windyridgewinery.com.au,527 Foster-Fish Creek Road, Foster, Vic 3960                        Gippsland            VIC,(03) 5682 2035,Not Available,7 days Jan, w'ends Nov-Easter, 2nd and 4th w'ends May-Sept 10-5,Graeme Wilson,1978,300,Not Available,
Winburndale,Central Ranges Zone,www.winburndalewines.com.au,116 Saint Anthony's Creek Road, Bathurst, NSW 2795                        Central Ranges Zone            NSW,(02) 6337 3134,(02) 6337 3106,Mon-Fri 10-4, w'ends 11-4,Mike Burleigh,1998,3500,10.4 hectares,
Winbirra Vineyard,Mornington Peninsula,www.winbirra.com.au,173 Point Leo Road, Red Hill South, Vic 3937                        Mornington Peninsula            VIC,(03) 5989 2109,(03) 5989 2109,First w'end month (every w'end Jan)   public hols 11-5,George Mihaly, Paramdeep Ghurman (Contract),1990,1500,4.1 hectares,
Amato Vino,Margaret River,www.amatovino.com.au,PO Box 475, Margaret River, WA 6285            Margaret River            Margaret River            WA            6285,0409 572 957,(08) 9757 1897,Not,Brad Wehr, Contract,2003,5000,Not Available,
Winbourne Wines,Hunter Valley,www.winbournewines.com,Bunnan Road, Scone, NSW 2337                        Hunter Valley            NSW,0417 650 834,(02) 6545 1636,By appt,Stephen Hagan, De Iuliis, Kevin Sobels Wines,1996,NA,Not Available,
Windermere Wines,Granite Belt,,Lot 3, Watters Road, Ballandean, Qld 4382                        Granite Belt            QLD,(07) 4684 1353,(07) 4684 1353,7 days 9.30-5,Wayne Beecham, Kate Beecham,1995,NA,Not Available,
Winchelsea Estate,Geelong,,248 Flinders Street, Adelaide, SA 5000 (postal)                        Geelong            VIC,0431 709 305,Not Available,Not,Peter Flewellyn,Not Available,1000,Not Available,
